[server32] starting on 10.0.0.1 (duration=30s)
[stream] Starting data stream...
[stream] seq=2 sent 21 bytes to ('224.0.0.1', 10000)[repair] Listening for NACKs on port 9001...

[stream] seq=3 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=4 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=5 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=6 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=7 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=8 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=9 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=10 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=11 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=12 sent 21 bytes to ('224.0.0.1', 10000)
[repair] NACK from ('10.0.0.4', 8000): missing seqs [1, 2]
[repair] NACK from ('10.0.0.5', 8000): missing seqs [1, 2]
[repair] WARNING: seqs [1] expired from window.
[repair] Sending 1 repair packet(s) for seqs [2]...
Exception in thread Thread-2:
Traceback (most recent call last):
  File "/usr/lib/python3.8/threading.py", line 932, in _bootstrap_inner
    self.run()
  File "server32.py", line 131, in run
    stats.record_repair_send(len(coded_packet)) 
AttributeError: 'Stats' object has no attribute 'record_repair_send'
[stream] seq=13 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=14 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=15 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=16 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=17 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=18 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=19 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=20 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=21 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=22 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=23 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=24 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=25 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=26 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=27 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=28 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=29 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=30 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=31 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=32 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=33 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=34 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=35 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=36 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=37 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=38 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=39 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=40 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=41 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=42 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=43 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=44 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=45 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=46 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=47 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=48 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=49 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=50 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=51 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=52 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=53 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=54 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=55 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=56 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=57 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=58 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=59 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=60 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=61 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=62 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=63 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=64 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=65 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=66 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=67 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=68 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=69 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=70 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=71 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=72 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=73 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=74 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=75 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=76 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=77 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=78 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=79 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=80 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=81 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=82 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=83 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=84 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=85 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=86 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=87 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=88 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=89 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=90 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=91 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=92 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=93 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=94 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=95 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=96 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=97 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=98 sent 21 bytes to ('224.0.0.1', 10000)
